Date,Volume,Return,Earnings_Per_Share,Long_Term_Debt,Net_Income,Revenue,Capital_Expenditure,Net_Profit_Margin,Debt_Equity_Ratio,Current_Ratio,Price_To_Book_Ratio,Monthly_Percent_Change,Short_MA,Long_MA,Price_Day_0,Price_Day_1,Price_Day_2,Price_Day_3,Price_Day_4,Price_Day_5,Price_Day_6,Price_Day_7,Price_Day_8,Price_Day_9,Price_Day_10,Price_Day_11,Price_Day_12,Price_Day_13,Price_Day_14,Price_Day_15,Price_Day_16,Price_Day_17,Price_Day_18,Price_Day_19,Price_Day_20,Price_Day_21,Price_Day_22,Price_Day_23,Price_Day_24,Price_Day_25,Price_Day_26,Price_Day_27,Price_Day_28,Price_Day_29,Price_Day_30
2010-02-17,21822700,-0.007845,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381,1.8552311435523094,65.61333333333333,65.386,65.76,66.28,64.8,65.24,64.85,65.2,64.35,64.8,64.72,66.6,66.96,66.18,64.43,64.96,65.54,65.92,65.85,66.1,66.7,68.03,69.27,69.11,69.68,69.67,69.95,70.3,69.52,69.8,70.02,69.42,69.15
2010-02-18,22544000,0.003041,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381,2.501516070345673,66.0,65.60799999999999,65.96,65.76,66.28,64.8,65.24,64.85,65.2,64.35,64.8,64.72,66.6,66.96,66.18,64.43,64.96,65.54,65.92,65.85,66.1,66.7,68.03,69.27,69.11,69.68,69.67,69.95,70.3,69.52,69.8,70.02,69.42
2010-02-19,24265700,-0.001364,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381,3.522088963109144,65.86333333333333,65.734,65.87,65.96,65.76,66.28,64.8,65.24,64.85,65.2,64.35,64.8,64.72,66.6,66.96,66.18,64.43,64.96,65.54,65.92,65.85,66.1,66.7,68.03,69.27,69.11,69.68,69.67,69.95,70.3,69.52,69.8,70.02
2010-02-22,20469700,-0.007135,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381,3.82262996941896,65.74333333333333,65.85400000000001,65.4,65.87,65.96,65.76,66.28,64.8,65.24,64.85,65.2,64.35,64.8,64.72,66.6,66.96,66.18,64.43,64.96,65.54,65.92,65.85,66.1,66.7,68.03,69.27,69.11,69.68,69.67,69.95,70.3,69.52,69.8
2010-02-23,33377400,-0.007034,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381,3.6957191253464825,65.40333333333334,65.586,64.94,65.4,65.87,65.96,65.76,66.28,64.8,65.24,64.85,65.2,64.35,64.8,64.72,66.6,66.96,66.18,64.43,64.96,65.54,65.92,65.85,66.1,66.7,68.03,69.27,69.11,69.68,69.67,69.95,70.3,69.52
2010-02-24,21470300,0.009393,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381,3.5240274599542367,65.29666666666667,65.54400000000001,65.55,64.94,65.4,65.87,65.96,65.76,66.28,64.8,65.24,64.85,65.2,64.35,64.8,64.72,66.6,66.96,66.18,64.43,64.96,65.54,65.92,65.85,66.1,66.7,68.03,69.27,69.11,69.68,69.67,69.95,70.3
2010-02-25,25669100,-0.006255,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381,5.5572612833896295,65.21,65.38,65.14,65.55,64.94,65.4,65.87,65.96,65.76,66.28,64.8,65.24,64.85,65.2,64.35,64.8,64.72,66.6,66.96,66.18,64.43,64.96,65.54,65.92,65.85,66.1,66.7,68.03,69.27,69.11,69.68,69.67,69.95
2010-02-26,20130400,-0.002149,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381,5.707692307692298,65.23,65.20599999999999,65.0,65.14,65.55,64.94,65.4,65.87,65.96,65.76,66.28,64.8,65.24,64.85,65.2,64.35,64.8,64.72,66.6,66.96,66.18,64.43,64.96,65.54,65.92,65.85,66.1,66.7,68.03,69.27,69.11,69.68,69.67
2010-03-01,18798700,0.006154,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381,4.9847094801223095,65.17999999999999,65.20599999999999,65.4,65.0,65.14,65.55,64.94,65.4,65.87,65.96,65.76,66.28,64.8,65.24,64.85,65.2,64.35,64.8,64.72,66.6,66.96,66.18,64.43,64.96,65.54,65.92,65.85,66.1,66.7,68.03,69.27,69.11,69.68
2010-03-02,24828300,0.001376,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381,4.764086120018331,65.29666666666667,65.316,65.49,65.4,65.0,65.14,65.55,64.94,65.4,65.87,65.96,65.76,66.28,64.8,65.24,64.85,65.2,64.35,64.8,64.72,66.6,66.96,66.18,64.43,64.96,65.54,65.92,65.85,66.1,66.7,68.03,69.27,69.11
2010-03-03,22285000,-0.000916,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381,4.325233073513676,65.44,65.292,65.43,65.49,65.4,65.0,65.14,65.55,64.94,65.4,65.87,65.96,65.76,66.28,64.8,65.24,64.85,65.2,64.35,64.8,64.72,66.6,66.96,66.18,64.43,64.96,65.54,65.92,65.85,66.1,66.7,68.03,69.27
2010-03-04,21963400,-0.000458,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381,3.868501529051989,65.44,65.34400000000001,65.4,65.43,65.49,65.4,65.0,65.14,65.55,64.94,65.4,65.87,65.96,65.76,66.28,64.8,65.24,64.85,65.2,64.35,64.8,64.72,66.6,66.96,66.18,64.43,64.96,65.54,65.92,65.85,66.1,66.7,68.03
2010-03-05,26838600,0.016361,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381,2.6478110425756056,65.76666666666667,65.638,66.47,65.4,65.43,65.49,65.4,65.0,65.14,65.55,64.94,65.4,65.87,65.96,65.76,66.28,64.8,65.24,64.85,65.2,64.35,64.8,64.72,66.6,66.96,66.18,64.43,64.96,65.54,65.92,65.85,66.1,66.7
2010-03-08,20300100,0.00015,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381,3.7454873646209306,66.11666666666666,65.854,66.48,66.47,65.4,65.43,65.49,65.4,65.0,65.14,65.55,64.94,65.4,65.87,65.96,65.76,66.28,64.8,65.24,64.85,65.2,64.35,64.8,64.72,66.6,66.96,66.18,64.43,64.96,65.54,65.92,65.85,66.1
2010-03-09,29003100,0.004513,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381,3.204552261156036,66.57666666666667,66.11200000000001,66.78,66.48,66.47,65.4,65.43,65.49,65.4,65.0,65.14,65.55,64.94,65.4,65.87,65.96,65.76,66.28,64.8,65.24,64.85,65.2,64.35,64.8,64.72,66.6,66.96,66.18,64.43,64.96,65.54,65.92,65.85
2010-03-10,24811700,0.006589,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381,1.9934543290687348,66.82666666666667,66.47,67.22,66.78,66.48,66.47,65.4,65.43,65.49,65.4,65.0,65.14,65.55,64.94,65.4,65.87,65.96,65.76,66.28,64.8,65.24,64.85,65.2,64.35,64.8,64.72,66.6,66.96,66.18,64.43,64.96,65.54,65.92
2010-03-11,19372500,0.0,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381,3.005058018446885,67.07333333333334,66.83399999999999,67.22,67.22,66.78,66.48,66.47,65.4,65.43,65.49,65.4,65.0,65.14,65.55,64.94,65.4,65.87,65.96,65.76,66.28,64.8,65.24,64.85,65.2,64.35,64.8,64.72,66.6,66.96,66.18,64.43,64.96,65.54
2010-03-12,23362900,-0.006248,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381,3.7275449101796547,67.08,66.9,66.8,67.22,67.22,66.78,66.48,66.47,65.4,65.43,65.49,65.4,65.0,65.14,65.55,64.94,65.4,65.87,65.96,65.76,66.28,64.8,65.24,64.85,65.2,64.35,64.8,64.72,66.6,66.96,66.18,64.43,64.96
2010-03-15,22073700,-0.007485,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381,2.9713423831070873,66.77333333333333,66.864,66.3,66.8,67.22,67.22,66.78,66.48,66.47,65.4,65.43,65.49,65.4,65.0,65.14,65.55,64.94,65.4,65.87,65.96,65.76,66.28,64.8,65.24,64.85,65.2,64.35,64.8,64.72,66.6,66.96,66.18,64.43
2010-03-16,35111700,0.004072,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381,3.935706774823501,66.55666666666666,66.82199999999999,66.57,66.3,66.8,67.22,67.22,66.78,66.48,66.47,65.4,65.43,65.49,65.4,65.0,65.14,65.55,64.94,65.4,65.87,65.96,65.76,66.28,64.8,65.24,64.85,65.2,64.35,64.8,64.72,66.6,66.96,66.18
2010-03-17,38776100,0.011867,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381,1.9299287410926322,66.74333333333334,66.85,67.36,66.57,66.3,66.8,67.22,67.22,66.78,66.48,66.47,65.4,65.43,65.49,65.4,65.0,65.14,65.55,64.94,65.4,65.87,65.96,65.76,66.28,64.8,65.24,64.85,65.2,64.35,64.8,64.72,66.6,66.96
2010-03-18,25928500,0.000445,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381,0.5638818815847981,67.10666666666667,66.88399999999999,67.39,67.36,66.57,66.3,66.8,67.22,67.22,66.78,66.48,66.47,65.4,65.43,65.49,65.4,65.0,65.14,65.55,64.94,65.4,65.87,65.96,65.76,66.28,64.8,65.24,64.85,65.2,64.35,64.8,64.72,66.6
